time_ms,signal_V
1.396461599999999805e+02,-3.394827137987527221e-03
1.396522799999999904e+02,-2.790382867245616572e-03
1.396584000000000003e+02,-3.057049537245615234e-03
1.396645199999999818e+02,-2.815764999044095829e-03
1.396706400000000201e+02,-3.064705137854728534e-03
1.396767600000000016e+02,-2.553003272399434476e-03
1.396828800000000115e+02,-2.523716197245617909e-03
1.396890000000000214e+02,-3.175019788321908898e-03
1.396951200000000028e+02,-3.342932352850852551e-03
1.397012400000000127e+02,-3.471949769110943551e-03
1.397073599999999942e+02,-3.223009629783807339e-03
1.397134800000000041e+02,-3.140029583515530076e-03
1.397195999999999856e+02,-2.955366723737973267e-03
1.397257199999999955e+02,-3.370729812662148772e-03
1.397318400000000054e+02,-3.333324279530230916e-03
1.397379599999999868e+02,-3.333324279530230916e-03
1.397440799999999967e+02,-2.888160736356643055e-03
1.397501999999999782e+02,-3.099849628463269280e-03
1.397563199999999881e+02,-3.273773893791548373e-03
1.397624399999999980e+02,-3.197627497983690503e-03
1.397685599999999795e+02,-2.840170894585186678e-03
1.397746800000000178e+02,-2.514108123924996274e-03
1.397807999999999993e+02,-2.780774793924994936e-03
1.397869200000000092e+02,-2.482868576976271502e-03
1.397930400000000191e+02,-1.971166710604349559e-03
1.397991600000000005e+02,-2.771166720604345546e-03
1.398052800000000104e+02,-2.771166720604345546e-03
1.398113999999999919e+02,-2.504500050604346884e-03
1.398175200000000018e+02,-2.771166720604345546e-03
1.398236400000000117e+02,-2.648006719396633901e-03
1.398297599999999932e+02,-2.397936058713079355e-03
1.398358800000000031e+02,-2.593337512237225972e-03
1.398419999999999845e+02,-2.985938605872429097e-03
1.398481199999999944e+02,-3.037833390604344208e-03
1.398542400000000043e+02,-2.504500050604346884e-03
